rec_id,value
1,fenite
1,rodbergite
1,syenite
1,carbonatite
2,"beforsitic carbonatite"
2,breccia
2,fenite
3,"aley carbonatite complex- carbonatite"
4,carbonatite
5,"nepheline syenite"
5,ijolite
5,carbonatite
5,phonolite
5,pyroxenite
5,fenite
6,carbonatite
6,pyroxenite
6,gneiss
7,"calcite carbonatite"
7,phoscorite
7,fenite
8,"carbonatite (sovitic)"
8,"nepheline syenite"
8,pulaskite
9,dolomite
9,trachyte
9,fenite
10,trachyte
10,phonolite
10,"minor syenite and nepheline syenite"
10,carbonatite
11,shonkonite
11,monzonite
11,"porphyritic potassic syenite"
11,pyroxenite
12,ijoite
12,"ultramafic rocks"
12,syenite
12,carbonatite
13,carbonatite
13,fenite
14,"hydrothermal carbonatite"
15,carbonatite
15,fenite
16,"calcite carbonatite"
17,"manomo carbonatite complex- silicified carbonatite"
17,tuff
17,agglomerate
18,jacupirangite
18,melteigite
18,carbonatite
18,stockworks
18,limestone
19,beforsite
19,alvikite
19,"carbonatite breccia"
19,syenite
19,pyroxenite
20,sovite
20,rodbergite
20,carbonatite
20,syenite
20,fenite
21,"carbonatite breccia"
21,syenite
21,ijolite
21,fenite
22,carbonatite
22,syenite
22,"nepheline syenite"
22,gneiss
23,pantellerite
24,syenite
24,"calcite carbonatite"
24,"dolomite carbonatite"
24,"ankerite carbonatite"
24,glimmerite
24,"feldspathic breccia"
25,carbonatite
25,"alkaline pegmatites"
25,"nepheline syenite"
25,gabbro
25,pyroxenite
26,carbonatite
27,"carbonate rocks"
28,"ankerite carbonatite"
28,"hematite-rich carbonatite"
29,limestone
30,"calcite carbonatite"
31,gabbro
31,pyroxenite
31,tuff
32,carbonatite
32,pyroxenite
32,breccia
33,carbonatite
33,pyroxenite
33,ijolite
34,"sovite and beforsite (some metamorphosed)"
34,"volcanic breccia"
34,tuff
35,peridotite
35,"intrusive breccia"
36,carbonatite
36,ijolite
36,"nepheline syenite"
36,pyroxenite
36,melasyenite
36,fenite
37,"tinguaite dikes"
38,carbonatite
38,syenite
38,foyaite
38,"iron ore"
39,"magnetite-carbonate rock"
39,"apatite-magnetite rock"
