rec_id,deptype,depname,country,stprov,lat_dms,lon_dms,status,age_info,company,comments,latitude,longitude
1,carb,Adiounedj,Mali,,20-11N,0-04E,Occurrence,Permian?,,"Hydrothermal syn found in flu, cal, and qtz.",20.183333333333,0.066666666666667
2,carb,"Agate Mountain",Namibia,,18-27S,12-05E,Occurrence,"Post-early Cretaceous",,"Carbonatite contains irregular patches of bastnasite.",-18.45,12.083333333333
3,carb,Aley,Canada,"British Columbia",56-27N,123-44W,,"349 ± 12 Ma (K-Ar, mica) -- Mississippian",,"REE is associated with sovite veins.",56.45,-123.73333333333
4,carb,"Amma (Amba) Dongar (Ambadungar)",India,,,,"Active F producer (2002)",,,"Veins in carbonatite.",,
5,carb,Anezrouf,Mali,,20-04N,0-03E,Occurrence,"Permian or younger",,,20.066666666667,0.05
6,carb,"Argor (South Bluff Creek, James Bay, Alpha-B)",Canada,Ontario,50-45N,81-01W,,,,,50.75,-81.016666666667
7,carb,Bailundo,Angola,,12-09S,15-57E,Occurrence,Cretaceous,,"Small scale mining of magnetite has occurred.",-12.15,15.95
8,carb,"Barra do Itapirapua",Brazil,"Sao Paulo",24-41S,49-13W,Occurrence,,,"ama 6% REE in hematite mine.  REE probably from hydrothermal solutions.",-24.683333333333,-49.216666666667
9,carb,"Bayan Obo (Baotou)",China,"Inner Mongolia",41-45N,109-58E,"Current producer","Middle Proterozoic-- 1580 Ma",,"MRDS gives location as 41-38N, 110-00E.",41.75,109.96666666667
10,carb,"Bear Lodge Mountains (southern)","United States",Wyoming,44-29N,104-27W,"Large, low-grade resource of REE-Th","38.3 to 50.5 Ma  (K-Ar, san,)",,"Veins and disseminated deposits.  Samples ranged from 112 to 30000 ppm with REE more abundant than Th. Area incompletely explored.",44.483333333333,-104.45
11,carb,"Bearpaw Mountains (Rocky Boy)","United States",Montana,48-10N,109-44W,Occurrence,"Eocene-- 49-55 Ma (K-Ar)",,"Lat-long is for the Rocky Boy stock.",48.166666666667,-109.73333333333
12,carb,"Big Spruce Lake",Canada,"Northwest Territories",63-33N,115-55W,Occurrence,"1785 Ma (K-Ar, bio, nepheline syenite)",,,63.55,-115.91666666667
