"rec_id","role","abbr","name"
1,"ree","syn","synchysite"
1,"ore","flu","fluorite"
1,"ore","tit","titanite"
1,"ore","apa","apatite"
1,"ore","bar","barite"
1,"ore","pyro","pyrochlore"
1,"gangue","qtz","quartz"
1,"gangue","cal","calcite"
1,"gangue","fe oxides","iron oxides"
1,"gangue","can","cancrinite"
1,"gangue","sod","sodalite"
1,"gangue","aeg-aug","aegirine-augite"
1,"gangue","cal","calcite"
2,"ree","bas","bastn�site"
2,"ore","flu","fluorite"
2,"ore","mn","manganese"
3,"ree","fers","fersmite"
3,"ore","pyro","pyrochlore"
3,"ore","col","columbite"
3,"ore","apa","apatite"
3,"ore","rut","rutile"
3,"ore","mag","magnetite"
3,"ore","zir","zircon"
4,"ore","flu","fluorite"
4,"ore","p","phosphorus"
5,"ree","pyro","pyrochlore"
5,"ree","woh","w�hlerite"
5,"ore","apa","apatite"
5,"ore","tit","titanite"
5,"ore","flu","fluorite"
5,"ore","zir","zircon"
5,"ore","pyr","pyrite"
5,"gangue","sod","sodalite"
5,"gangue","can","cancrinite"
5,"gangue","aeg","aegirine"
5,"gangue","aug","augite"
5,"gangue","cal","calcite"
5,"gangue","wol","wollastonite"
5,"gangue","neph","nepheline"
5,"gangue","pyx","pyroxene"
5,"gangue","bio","biotite"
6,"ore","apa","apatite"
6,"ore","ti-mag","titanium magnetite"
6,"ore","pyro","pyrochlore"
6,"ore","zir","zircon"
6,"ore","pyr","pyrite"
6,"ore","cpy","chalcopyrite"
6,"gangue","dol","dolomite"
6,"gangue","rie","riebeckite"
6,"gangue","phlo","phlogopite"
6,"gangue","cal","calcite"
6,"gangue","oliv","olivine"
6,"gangue","bio","biotite"
6,"gangue","aug","augite"
7,"ree","bas","bastn�site"
7,"ree","par","parisite"
7,"ree","syn","synchysite"
7,"ree","re phosphates","rare earth phosphates"
7,"ore","apa","apatite"
7,"ore","bar","barite"
7,"ore","pyro","pyrochlore"
7,"ore","mag","magnetite"
7,"ore","hol","hollandite"
7,"ore","str","strontianite"
7,"gangue","cal","calcite"
7,"gangue","dol","dolomite"
7,"gangue","ank","ankerite"
8,"ree","bas","bastn�site"
8,"ree","anc","ancylite"
8,"ree","syn","synchysite"
8,"ree","par","parisite"
8,"ore","flu","fluorite"
8,"ore","gal","galena"
8,"ore","bar","barite"
8,"ore","str","strontianite"
8,"ore","pyro","pyrochlore"
8,"gangue","cal","calcite"
8,"gangue","dol","dolomite"
8,"gangue","mll","melilite"
8,"gangue","qtz","quartz"
9,"ree","bas","bastn�site"
9,"ree","mon","monazite"
9,"ree","aes","aeschynite"
9,"ree","all","allanite"
9,"ree","apa","apatite"
9,"ree","par","parisite"
9,"ree","hua","huanghoite"
9,"ree","ferg","fergusonite"
9,"ree","fers","fersmite"
9,"ree","xen","xenotime"
9,"ree","daq","daqingshanite"
9,"ree","cor","cordylite"
9,"ree","ccer","carbocernaite"
9,"ree","che","chevkinite"
9,"ree","bri","britholite"
9,"ore","mag","magnetite"
9,"ore","hem","hematite"
9,"ore","flu","fluorite"
9,"ore","apa","apatite"
9,"ore","bar","barite"
9,"ore","nb-rut","niobium rutile"
9,"ore","col","columbite"
9,"ore","mrt","martite"
9,"ore","pyro","pyrochlore"
9,"ore","pyr","pyrite"
9,"ore","ana","anatase"
9,"gangue","dol","dolomite"
9,"gangue","qtz","quartz"
9,"gangue","cal","calcite"
9,"gangue","fld","feldspar"
9,"gangue","arf","arfvedsonite"
9,"gangue","phlo","phlogopite"
9,"gangue","aeg","aegirine"
9,"gangue","rie","riebeckite"
9,"gangue","bio","biotite"
10,"ree","mon","monazite"
10,"ree","xen","xenotime"
10,"ree","anc","ancylite"
10,"ree","bas","bastn�site"
10,"ore","str","strontianite"
10,"ore","hem","hematite"
10,"ore","thor","thorite"
10,"ore","u","uranium"
10,"ore","nb","niobium"
10,"ore","flu","fluorite"
10,"ore","ba","barium"
10,"ore","mag","magnetite"
10,"gangue","aeg-aug","aegirine-augite"
10,"gangue","act","actinolite"
10,"gangue","qtz","quartz"
10,"gangue","fld","feldspar"
10,"gangue","cal","calcite"
10,"gangue","bio","biotite"
10,"gangue","horn","hornblende"
11,"ree","anc","ancylite"
11,"ree","bur","burbankite"
11,"ore","apa","apatite"
11,"ore","zr","zirconium"
11,"ore","u","uranium"
11,"ore","nb","niobium"
11,"ore","pyr","pyrite"
11,"ore","mag","magnetite"
11,"ore","tit","titanite"
11,"gangue","pyx","pyroxene"
11,"gangue","anl","analcime"
11,"gangue","bio","biotite"
11,"gangue","aug","augite"
11,"gangue","neph","nepheline"
11,"gangue","qtz","quartz"
11,"gangue","cal","calcite"
11,"gangue","fld","feldspar"
12,"ore","flu","fluorite"
12,"ore","tit","titanite"
12,"ore","apa","apatite"
12,"ore","mag","magnetite"
12,"gangue","bio","biotite"
12,"gangue","sod","sodalite"
12,"gangue","neph","nepheline"
12,"gangue","aeg","aegirine"
12,"gangue","zeo","zeolite"
13,"ree","par","parisite"
13,"ree","syn","synchysite"
13,"ore","apa","apatite"
13,"ore","pyr","pyrite"
13,"ore","bar","barite"
13,"ore","pyro","pyrochlore"
13,"ore","mag","magnetite"
13,"ore","rut","rutile"
13,"ore","str","strontianite"
13,"ore","p","phosphorus"
13,"gangue","gar","garnet"
13,"gangue","cal","calcite"
13,"gangue","ank-dol","ankerite-dolomite"
13,"gangue","bio","biotite"
14,"ree","bas","bastn�site"
14,"ree","mon","monazite"
15,"ore","th","thorium"
15,"ore","mag","magnetite"
15,"ore","bar","barite"
15,"ore","u","uranium"
15,"ore","sr","strontium"
15,"ore","nb","niobium"
15,"ore","cu","copper"
15,"ore","zn","zinc"
15,"ore","zr","zirconium"
16,"ree","syn","synchysite"
16,"ree","anc","ancylite"
16,"ore","apa","apatite"
16,"ore","mag","magnetite"
16,"ore","pyro","pyrochlore"
16,"ore","pyr","pyrite"
16,"ore","flu","fluorite"
16,"ore","vrm","vermiculite"
16,"gangue","cal","calcite"
16,"gangue","dol","dolomite"
16,"gangue","bio","biotite"
17,"ree","bas","bastn�site"
17,"ree","mon","monazite"
17,"ree","cer","cerianite"
17,"ree","la-nd phosphates and silicates","la-nd phosphates and silicates"
17,"ore","bar","barite"
17,"ore","apa","apatite"
17,"ore","carbonate-hapa","carbonate-hydroxlapatite"
17,"ore","carbonate-fapa","carbonate-fluorapatite"
17,"ore","coll","collophane"
17,"ore","th","thorium"
17,"ore","u","uranium"
17,"ore","sc","scandium"
17,"ore","nb","niobium"
17,"gangue","qtz","quartz"
17,"gangue","goe","goethite"
17,"gangue","p","phosphorus"
18,"ore","pyro","pyrochlore"
18,"ore","ti-mag","titanium magnetite"
18,"ore","tit","titanite"
18,"ore","prv","perovskite"
18,"ore","apa","apatite"
18,"gangue","aeg-aug","aegirine-augite"
18,"gangue","neph","nepheline"
18,"gangue","bio","biotite"
18,"gangue","fld","feldspar"
18,"gangue","phlo","phlogopite"
19,"ree","mon","monazite"
19,"ree","all","allanite"
19,"ree","anc","ancylite"
19,"ree","ce-ferg","cerium fergusonite"
19,"ore","apa","apatite"
19,"ore","mag","magnetite"
19,"ore","ilm","ilmenite"
19,"ore","pyro","pyrochlore"
19,"ore","zir","zircon"
19,"ore","tit","titanite"
19,"ore","ana","anatase"
19,"ore","bad","baddeleyite"
19,"ore","col","columbite"
19,"gangue","aeg","aegirine"
19,"gangue","bio","biotite"
19,"gangue","amph","amphibole"
19,"gangue","phlo","phlogopite"
20,"ree","mon","monazite"
20,"ree","cer","cerianite"
20,"ree","ppyro","plumbopyroclore"
20,"ore","thor","thorite"
20,"ore","u-pyro","uranium pyrochlore"
21,"ree","par","parisite"
21,"ree","syn","synchysite"
21,"ree","re phosphates","rare earth phosphates"
21,"ore","bar","barite"
21,"ore","flu","fluorite"
21,"ore","sr","strontium"
21,"ore","nb","niobium"
21,"ore","zn","zinc"
21,"gangue","dol","dolomite"
21,"gangue","qtz","quartz"
22,"ree","all","allanite"
22,"ore","mag","magnetite"
22,"ore","bar","barite"
22,"ore","sr","strontium"
22,"ore","pow","powellite"
22,"ore","mlyb","molybdenite"
22,"ore","apa","apatite"
22,"ore","zir","zircon"
22,"ore","pyro","pyrochlore"
22,"ore","pyr","pyrite"
22,"ore","pyrh","pyrrhotite"
22,"ore","cu","copper"
22,"gangue","dol","dolomite"
