"rec_id","role","reflink","reference"
1,"general","Mariano, 1983a","Mariano, A.N., 1983a, A petrographic description of carbonatite and related rocks from the Adrar des Iforas, Mali- Oue Anezrouf, Adiounedj, In Imanal: confidential unpublished report to United Nations Revolving Fund for Natural Resources Exploration, 78 p."
1,"general","Sauvage and Savard, 1985","Sauvage, J.-F., and Savard, R., 1985, Les complexes alcalins sous-satur�s � carbonatites de la r�gion d'In Imanal (Sahara malien): une presentation: Journal of African Earth Sciences: v. 3, p. 143-149."
1,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
1,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
1,"general","Wall and Mariano, 1996","Wall, F., and Mariano, A.N., 1996, Rare earth mienrals in carbonatites: a discussion centred on the Kangankunde Carbonatite, Malawi, in Jones, A.P.,"
2,"general","McManus and Schneider, 1994","McManus, M.N.C., and Schneider, G.I.C., 1994, Namibia: industrial minerals, in Mathers, S.J., and Notholt, A.J.G., eds., Industrial minerals in developing countries: British Geological Survey and Association of Geoscientists for International Development (AGID) Report Series Geosciences in International Development 18, p. 111-134."
2,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
2,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
3,"location","Nokleberg and others, 1997","Nokleberg, W.J., Bundtzen, T.K., Dawson, K.M., Eremin R.A., Goryachev, N.A., Koch R.D., Ratkin, V.V., Rozenblum, I.S., Shpikerman, V.I., Frolov, Y.F., Gorodinsky, M.E., Melnikov, V.D., Diggles, M.F., Ognyanov, N.V., Petrachenko, E.D., Petrachenko, R.I., Pozdeev, A.I., Ross, K.V., Wood, D.H., Grybeck, Donald, Khanchuk, A.I., Kovbas, L.I., Nekrasov, I.Ya., and Sidorov, A.A., 1997, Significant metalliferous and selected non-metalliferous lode deposits and placer districts for the Russian Far East, Alaska, and the Canadian Cordillera: U.S. Geological Survey Open-File Report 96-513-B, 1 CD-ROM."
3,"general","Nokleberg and others, 1997","Nokleberg, W.J., Bundtzen, T.K., Dawson, K.M., Eremin R.A., Goryachev, N.A., Koch R.D., Ratkin, V.V., Rozenblum, I.S., Shpikerman, V.I., Frolov, Y.F., Gorodinsky, M.E., Melnikov, V.D., Diggles, M.F., Ognyanov, N.V., Petrachenko, E.D., Petrachenko, R.I., Pozdeev, A.I., Ross, K.V., Wood, D.H., Grybeck, Donald, Khanchuk, A.I., Kovbas, L.I., Nekrasov, I.Ya., and Sidorov, A.A., 1997, Significant metalliferous and selected non-metalliferous lode deposits and placer districts for the Russian Far East, Alaska, and the Canadian Cordillera: U.S. Geological Survey Open-File Report 96-513-B, 1 CD-ROM."
3,"general","Pell, 1996","Pell, Jennifer, 1996, Chapter 13- Mineral deposits associated with carbonatites and related alkaline igneous rocks, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 271-310."
4,"resource","Singer, 1998","Singer, D.A., 1998, Revised grade and tonnage model of carbonatite deposits: U.S. Geological Survey Open-File Report 98-0235, 7 p."
4,"resource","Pell, 1996","Pell, Jennifer, 1996, Chapter 13- Mineral deposits associated with carbonatites and related alkaline igneous rocks, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 271-310."
4,"general","Singer, 1998","Singer, D.A., 1998, Revised grade and tonnage model of carbonatite deposits: U.S. Geological Survey Open-File Report 98-0235, 7 p."
4,"general","Pell, 1996","Pell, Jennifer, 1996, Chapter 13- Mineral deposits associated with carbonatites and related alkaline igneous rocks, in Mitchell, R.H., ed., Undersaturated alkaline rocks: Mineralogy, petrogenesis, and economic potential: Mineralogical Association of Canada Short Course 24, p. 271-310."
5,"location","Sauvage and Savard, 1985","Sauvage, J.-F., and Savard, R., 1985, Les complexes alcalins sous-satur�s � carbonatites de la r�gion d'In Imanal (Sahara malien): une presentation: Journal of African Earth Sciences: v. 3, p. 143-149."
5,"general","Sauvage and Savard, 1985","Sauvage, J.-F., and Savard, R., 1985, Les complexes alcalins sous-satur�s � carbonatites de la r�gion d'In Imanal (Sahara malien): une presentation: Journal of African Earth Sciences: v. 3, p. 143-149."
5,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
6,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
6,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
7,"general","Alberti and others, 1999","Alberti, A.. Castorina, F., Censi, P., Comin-Chiaramonti, P., and Gomes, C.B., 1999, Geochemical characteristics of Cretaceous carbonatites from Angola: Journal of African Earth Sciences, v. 29, p. 735-759."
7,"location","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
7,"general","Woolley, 2001","Woolley, A.R., 2001, Alkaline rocks and carbonatites of the world-- Part 3: Africa: London, The Geological Society, 372 p."
8,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
8,"general","Mariano, 1979","Mariano, A.N., 1979, Carbonatite exploration in Brasil: confidential report to Molycorp Inc., 39 p."
8,"general","Ulbrich and Gomes, 1981","Ulbrich, H.H.G.J., and Gomes, C.B., 1981, Alkaline rocks from continental Brazil: Earth-Science Reviews, v.17, no.1-2, p.135-154."
8,"location","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
8,"general","Woolley, 1987","Woolley, A.R., 1987, Alkaline rocks and carbonatites of the world; Part 1, North and South America: London, United Kingdom, British Museum of Natural History, 216 p."
9,"resource","Drew and others, 1990","Drew, L.J., Qingrun, M., and Weijun, S., 1990, The Bayan Obo iron - rare-earth -niobium deposits, Innder Mongolia, China: Lithos, v. 26, p. 43-65."
9,"general","Drew and others, 1990","Drew, L.J., Qingrun, M., and Weijun, S., 1990, The Bayan Obo iron - rare-earth -niobium deposits, Innder Mongolia, China: Lithos, v. 26, p. 43-65."
9,"general","Castor, 1994","Castor, S.B., 1994, Rare earth minerals, in Carr, D.D., ed., Industrial minerals and rocks, 6th edition: Littleton, Colorardo, Society for Mining, Metallurgy, and Exploratin, Inc., p. 827-839."
9,"general","Chao and others, 1989","Chao, E.C.T., Minkin, J.A., Back, J.M., Erickson, R.L., Drew, L.J., Okita, P.M., McKee, E.H., Conrad, J.E., Turrin, B., Tatsumoto, M., Wand, Junwen, Edwards, C.A., Buden, R.V., Hou, Zonglin, Ren, Yingzhen, Meng, Qingren, and Sun, Weijun, 1989, Epigenetic hydrothermal-metasomatic origin of the Bayan Obo Fe-Nb-REE ore deposit of Inner Mongolia, China [abs.]: International Geological Congress Abstracts 28, v. 1, p. 1.262."
9,"location","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
9,"resource","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
9,"resource","Kingsnorth and Harries-Rees, 1993","Kingsnorth, D.J., and Harries-Rees, Karne, 1993, Chinese rare earths-- The dragon has entered: Industrial Minerals, no. 310, p. 45-49."
9,"general","Jackson and Christiansen, 1993","Jackson, W.D., and Christiansen, Grey, 1993, International strategic minerals inventory summary report-- Rare-earth oxides: U.S. Geological Survey Circular 930-N, 68 p."
9,"general","Lee, 1970","Lee, K.Y., 1970, Some rare-element mineral deposits in Mainland China: U.S. Geological Survey Bulletin 1312-N, 34 p."
9,"general","Kingsnorth and Harries-Rees, 1993","Kingsnorth, D.J., and Harries-Rees, Karne, 1993, Chinese rare earths-- The dragon has entered: Industrial Minerals, no. 310, p. 45-49."
9,"general","Mariano, 1989","Mariano, A.N., 1989, Economic geology of rare earth minerals, in Lipin, B.R., and McKay, G.A., eds., Geochemistry and mineralogy of the rare earth elements: Washington, D.C., Mineralogical Society of America Reviews in Mineralogy 21, p. 309-348."
9,"general","M�ller, 1989a","M�ller, P., 1989a, Rare earth mineral deposits and their industrial importance, in"
9,"resource","Singer, 1998","Singer, D.A., 1998, Revised grade and tonnage model of carbonatite deposits: U.S. Geological Survey Open-File Report 98-0235, 7 p."
