"rec_id","value"
4,"105 Mt @ 3% REO"
4,"11.6 Mt @ 30% CaF2"
9,"750 Mt @ 4.1% REO"
9,"48 Mt @ 6% REO, 15000 Mt @ 35% Fe"
9,"800 Mt @ 6% REO (1990)"
9,"36 Mt REO"
10,"726 Mt @ 1.306% REO (1978)"
14,"3.66% REO"
14,"0.1 Mt @ 8% mon or 4.4% REO (1970)"
27,"Proven:  0.03 Mt@ 6.3% REE (1989, to 20 m depth)"
33,"0.35% REO"
35,"14.7 Mt @ 0.42% REO (1978)"
36,"36.3 Mt @ 0.01% REO"
36,"655.6 Mt @ 0.397% REO (1989)"
38,"20 Mt REO (1989)"
41,"0.2-1.93% REE"
44,"4.7 Mt @ 2.78% REE (1990)"
50,"0.023 Mt REO @ 3.2% REO (drilled)"
56,"0.25% REO"
57,"average grade of ~ 1.7% REO, 0.12% Nb2O5"
59,"Proven + probable-- 29 Mt @ 8.9% REO (5% cutoff)"
59,">40 Mt @ 7.68% REO"
59,"28 Mt @ 8.86% REO"
59,"28.1 @ 12% bas or 8.9% REO (1989)"
59,"90 Mt @ 5% REO"
60,"200 Mt @ 1.5% RE"
60,"6.1 Mt @ 1.37% REO"
68,"? 21% REO"
70,"2-7% REO in siliceous rocks"
71,"8 Mt @ 3% REO, 0.3% Nb2O5"
72,"123.8 Mt @ 0.105% REO (1989)"
72,"652 Mt @ 0.15% REO"
78,"57 Mt @ 1% REO"
81,"? 5.5% REO"
82,"0.4% REO"
87,"16 Mt @ 0.0088% REO"
87,"ama 4.5% LREE"
90,"0.1-0.9% REO"
100,"0.15-4.3% REO, 1-8% P2O5"
101,">1.6% REO in production"
104,"13.96 Mt @ 1.0% REO (1989)"
104,"2.5% REO"
106,"0.1-0.2% REO, 50-60% Fe, 0.4-0.8% Cu, 1-2% P2O5"
110,">450 Mt Nb ore @ 2.5% Nb2O5, 4.4% REO + 0.8 Mt laterite ore @ 13.5% REO, 2% Nb2O5, 0.05% U3O8 (1984)"
110,"0.546 Mt @ 10-11% REO (1982)"
110,"462 Mt @ 0.033% REO"
116,"2 Mt laterite @ 12% REO"
116,"5 Mt @ 12% REO"
116,"21 Mt @ 1.02% REO"
116,"4.6 Mt @ 4% REE"
118,"0.1-11% REO"
123,"11 Mt @ 1.97% REO"
123,"11 Mt @ 5% mon (1983)"
123,"11 Mt @ 0.62% REO"
125,"Mineable ore-- 0.06 Mt @ 3.0% bas (1.59% REO)"
127,"2.52% REO"
129,"laterite contains ama 17% REE"
134,"0.13 Mt REE"
134,"1.50% REO in laterite cover"
135,"Indicated 15.4 Mt @ 11.2% REO + Y2O3 (5% cutoff) + 4.0 Mt @ 0.36% Y2O3"
135,"6.3 Mt @ 16.2% REO"
135,"15.2 Mt @ 11.2% REO (including Y)"
135,"6.3 Mt @ 17.2% REO (1990)"
136,"6 Mt @ about 5% REO (1966)"
136,"50.8 Mt @ 0.59% REO"
137,"221 Mt @ 0.1% REO"
137,"4.0 Mt @ 0.31% Nb2O5, 0.39% REO, 3.8% P2O5"
138,"0.375 Mt @ 6.4% mon or 3.5% REO (1989)"
141,"200 Mt @ 27.7% Ti2-- Ti concentrates contain >3% REE"
144,"150 Mt @ 0.03% REO"
144,"166 @ 0.03% REO"
146,"large resource with 8-31% REO, 3-8% Nb2O5"
148,"ama 20% REO"
149,"3.1 @ 1.7% REO (1989)"
149,"ama 11% REO"
149,"3.5 Mt @ 3.09% mon (1.7% REO)"
157,"0.2-0.7% REO, 0.5-3.4% ZrO2, 0.02-0.3% Nb2O5, 0.02-0.15% BeO"
160,"6.2 Mt (indicated resource) @0.09-0.46 % REO + 0.09-0.4% Y2O3"
